                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3654,                 2.6889,                 1.7017,                0.00306,                0.91667,                0.70954,                 0.3222,                  1.342,                  3.592,                 2.0278,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.3024,                 2.4919,                 1.6587,                0.00306,                0.91667,                0.81732,                0.46716,                 1.2469,                 3.3438,                 1.7539,             0.00013538,             0.00013538,             0.00013538
                      3,                 1.3417,                 2.0129,                  1.624,                0.00333,                      1,                0.89048,                0.53007,                 1.1984,                 3.2117,                 1.6441,             0.00020548,             0.00020548,             0.00020548
                      4,                 1.2219,                 1.6141,                  1.519,                      1,                 0.1799,                0.79939,                0.36696,                 1.4022,                 3.1634,                 1.9346,              0.0002703,              0.0002703,              0.0002703
                      5,                 1.3092,                 1.5942,                 1.5686,                 0.6889,                0.66667,                0.76403,                0.30775,                 1.5493,                 3.2426,                 2.1394,             0.00032984,             0.00032984,             0.00032984
                      6,                  1.276,                 1.6374,                 1.6354,                0.00862,                0.91667,                0.77709,                0.28641,                 1.5901,                 3.2924,                 2.1299,              0.0003841,              0.0003841,              0.0003841
                      7,                 1.2666,                 1.7118,                 1.5116,                0.00333,                      1,                0.83353,                0.35473,                 1.4535,                 3.3376,                 1.9831,             0.00043308,             0.00043308,             0.00043308
                      8,                 1.2058,                 1.5356,                 1.5003,                0.88399,                0.63728,                0.84313,                0.39821,                 1.3922,                 3.2523,                 1.9526,             0.00047678,             0.00047678,             0.00047678
                      9,                 1.1693,                 1.5235,                 1.4562,                      1,                0.37802,                 0.9003,                0.41065,                 1.5686,                 3.2212,                 2.0701,              0.0005152,              0.0005152,              0.0005152
                     10,                 1.1086,                 1.4592,                 1.4622,                      1,                0.31407,                0.87226,                0.40032,                  1.497,                 3.1257,                 2.0262,             0.00054834,             0.00054834,             0.00054834
                     11,                 1.2807,                 1.5749,                 1.5214,                      1,                0.24864,                0.80735,                 0.3967,                 1.4907,                 3.1713,                 2.0599,              0.0005762,              0.0005762,              0.0005762
                     12,                 1.1624,                 1.4586,                 1.4254,                0.84201,                0.44702,                0.76937,                0.25425,                 1.8348,                 3.1737,                 2.6432,             0.00059878,             0.00059878,             0.00059878
                     13,                 1.1928,                 1.3597,                 1.4221,                0.99127,                0.91667,                0.92977,                0.34233,                 1.7809,                 2.7725,                 2.6219,             0.00061608,             0.00061608,             0.00061608
                     14,                 1.1433,                 1.4436,                 1.4323,                      1,                0.89092,                  0.963,                0.47359,                 1.6988,                 2.5898,                 2.4661,              0.0006281,              0.0006281,              0.0006281
                     15,                  1.186,                 1.4148,                 1.4605,                0.82945,                0.81195,                 0.9166,                0.42357,                 1.6572,                 2.5431,                 2.3851,             0.00063484,             0.00063484,             0.00063484
                     16,                 1.1179,                 1.2957,                 1.3729,                0.76366,                 0.8092,                0.88069,                0.35927,                 1.6028,                 2.4563,                 2.3349,              0.0006363,              0.0006363,              0.0006363
                     17,                 1.1359,                 1.4265,                 1.4678,                0.77784,                      1,                0.94123,                0.46891,                 1.5872,                 2.2139,                 2.2778,             0.00063248,             0.00063248,             0.00063248
                     18,                 1.0447,                  1.208,                 1.3196,                0.82744,                      1,                0.92629,                 0.4871,                 1.6155,                 2.0835,                 2.4445,             0.00062338,             0.00062338,             0.00062338
                     19,                 1.0828,                 1.2304,                 1.3892,                0.91552,                0.90402,                0.96833,                0.48459,                 1.5615,                  2.254,                 2.3494,               0.000609,               0.000609,               0.000609
                     20,                 1.0235,                 1.2408,                 1.3814,                      1,                 0.7978,                0.90986,                0.46603,                 1.4983,                 2.4209,                 2.1691,             0.00058934,             0.00058934,             0.00058934
                     21,                0.98624,                 1.8496,                 1.4576,                      1,                0.86377,                0.91573,                0.51361,                 1.3842,                 2.6454,                 1.8959,              0.0005644,              0.0005644,              0.0005644
                     22,                0.94484,                 1.8206,                 1.3827,                      1,                0.84947,                0.92685,                0.55747,                 1.3725,                  2.458,                 1.9092,             0.00053418,             0.00053418,             0.00053418
                     23,                0.99779,                 1.7038,                 1.3616,                0.96341,                0.83333,                0.95197,                0.58504,                 1.2716,                 2.2967,                 1.8041,             0.00049868,             0.00049868,             0.00049868
                     24,                0.95412,                 1.6625,                 1.3257,                      1,                0.89149,                0.98357,                0.60653,                  1.266,                 2.2754,                  1.783,              0.0004579,              0.0004579,              0.0004579
                     25,                0.86834,                 1.6059,                 1.3295,                0.99511,                0.83333,                0.97214,                0.58945,                 1.2837,                 2.2114,                 1.8593,             0.00041184,             0.00041184,             0.00041184
                     26,                0.82487,                 1.5131,                 1.3222,                0.99527,                0.83333,                0.97214,                 0.6096,                 1.2802,                 2.0492,                 1.8845,                0.00035,                0.00035,                0.00035
                     27,                0.84527,                  1.516,                 1.3358,                0.91292,                      1,                0.98269,                0.62225,                 1.2654,                 1.9368,                 1.8871,                0.00035,                0.00035,                0.00035
                     28,                0.80331,                 1.4383,                 1.2964,                0.92275,                0.99574,                0.98269,                 0.6517,                 1.2183,                   1.85,                 1.8336,               0.000284,               0.000284,               0.000284
                     29,                0.79923,                 1.4346,                 1.2752,                0.92307,                0.99987,                0.98885,                0.66921,                 1.2055,                    1.8,                 1.7773,               0.000218,               0.000218,               0.000218
                     30,                0.78093,                 1.3254,                 1.2342,                0.92062,                      1,                0.98885,                0.67056,                 1.1969,                 1.7429,                   1.75,               0.000152,               0.000152,               0.000152
